frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
127,1,0.2549,0.4115,0.02,False,False
128,0,0.009,0.0151,0.0,False,False
128,1,0.2643,0.4272,0.02,False,False
129,0,0.0122,0.0114,0.0133,False,False
129,1,0.2409,0.4015,0.0,False,False
130,0,0.0052,0.0087,0.0,False,False
130,1,0.2499,0.3987,0.0267,False,False
131,0,0.0017,0.0029,0.0,False,False
131,1,0.2452,0.3953,0.02,False,False
132,0,0.0019,0.0031,0.0,False,False
132,1,0.2473,0.3988,0.02,False,False
133,3,0.0414,0.0646,0.0067,False,False
133,1,0.2453,0.4088,0.0,False,False
134,3,0.0323,0.0538,0.0,False,False
134,1,0.2486,0.4143,0.0,False,False
135,3,0.0394,0.0657,0.0,False,False
135,1,0.2455,0.4092,0.0,False,False
136,3,0.0448,0.0747,0.0,False,False
136,1,0.2457,0.405,0.0067,False,False
137,3,0.0506,0.0799,0.0067,False,False
137,1,0.2404,0.4007,0.0,False,False
138,3,0.0516,0.0816,0.0067,False,False
138,1,0.2401,0.4001,0.0,False,False
139,3,0.048,0.08,0.0,False,False
139,1,0.2404,0.4006,0.0,False,False
140,3,0.038,0.0589,0.0067,False,False
140,1,0.2552,0.4164,0.0133,False,False
141,3,0.0358,0.0597,0.0,False,False
141,1,0.2506,0.4088,0.0133,False,False
142,0,0.008,0.0089,0.0067,False,False
142,1,0.2439,0.4021,0.0067,False,False
143,0,0.0106,0.0087,0.0133,False,False
143,1,0.2421,0.3991,0.0067,False,False
144,3,0.0349,0.0493,0.0133,False,False
144,1,0.239,0.3983,0.0,False,False
145,3,0.0337,0.0516,0.0067,False,False
145,1,0.2427,0.4,0.0067,False,False
146,0,0.0051,0.0085,0.0,False,False
146,1,0.2411,0.3973,0.0067,False,False
147,3,0.0318,0.0531,0.0,False,False
147,1,0.2345,0.3908,0.0,False,False
148,0,0.0079,0.0087,0.0067,False,False
148,1,0.2331,0.3885,0.0,False,False
149,3,0.035,0.0539,0.0067,False,False
149,1,0.2338,0.3897,0.0,False,False
150,3,0.0323,0.0538,0.0,False,False
150,1,0.2349,0.3915,0.0,False,False
