frame,object_id,suspicion_score,appearance_drift,tracking_drift,requested_reclassification,actual_reclassification
169,3,0.0476,0.0794,0.0,False,False
170,3,0.0803,0.1339,0.0,False,False
171,2,0.1862,0.3014,0.0133,False,False
172,2,0.1719,0.2802,0.0094,False,False
173,3,0.1128,0.188,0.0,False,False
174,3,0.104,0.1593,0.0211,False,False
175,3,0.115,0.1855,0.0094,False,False
176,3,0.1145,0.1908,0.0,False,False
177,3,0.1122,0.1807,0.0094,False,False
178,3,0.1167,0.1945,0.0,False,False
179,3,0.1193,0.1926,0.0094,False,False
180,3,0.1418,0.2319,0.0067,False,False
181,3,0.1585,0.2597,0.0067,False,False
182,3,0.1678,0.2796,0.0,False,False
183,3,0.1803,0.2942,0.0094,False,False
184,3,0.1739,0.2898,0.0,False,False
185,3,0.1746,0.291,0.0,False,False
186,3,0.1768,0.2857,0.0133,False,False
187,3,0.1714,0.2813,0.0067,False,False
188,3,0.1725,0.2813,0.0094,False,False
189,3,0.1526,0.2361,0.0275,False,False
190,3,0.1478,0.2364,0.0149,False,False
191,1,0.0841,0.1269,0.02,False,False
191,3,0.1165,0.1852,0.0133,False,False
192,1,0.0831,0.1341,0.0067,False,False
192,3,0.1117,0.1817,0.0067,False,False
193,1,0.0823,0.1371,0.0,False,False
193,3,0.1102,0.1793,0.0067,False,False
194,1,0.0846,0.1411,0.0,False,False
194,3,0.1082,0.1804,0.0,False,False
195,1,0.0973,0.1382,0.0359,False,False
195,3,0.1061,0.1768,0.0,False,False
196,1,0.0832,0.1386,0.0,False,False
196,3,0.1025,0.1708,0.0,False,False
197,1,0.1019,0.1458,0.0359,False,False
197,3,0.0988,0.1647,0.0,False,False
198,1,0.0995,0.1474,0.0275,False,False
198,3,0.0957,0.1595,0.0,False,False
199,1,0.0888,0.148,0.0,False,False
199,3,0.0951,0.1586,0.0,False,False
200,1,0.0898,0.1497,0.0,False,False
200,3,0.0937,0.1562,0.0,False,False
201,1,0.0897,0.1495,0.0,False,False
201,3,0.0921,0.1535,0.0,False,False
202,1,0.1031,0.1535,0.0275,False,False
202,3,0.092,0.1533,0.0,False,False
203,1,0.1047,0.1505,0.0359,False,False
203,3,0.09,0.15,0.0,False,False
204,1,0.0918,0.1467,0.0094,False,False
204,3,0.0891,0.1485,0.0,False,False
205,1,0.0881,0.1405,0.0094,False,False
205,3,0.0889,0.1481,0.0,False,False
206,1,0.0857,0.1383,0.0067,False,False
206,3,0.0878,0.1464,0.0,False,False
207,1,0.0844,0.1362,0.0067,False,False
207,3,0.0886,0.1477,0.0,False,False
208,1,0.0822,0.137,0.0,False,False
208,3,0.0877,0.1462,0.0,False,False
209,1,0.0814,0.1356,0.0,False,False
209,3,0.0873,0.1455,0.0,False,False
210,1,0.0797,0.1328,0.0,False,False
210,3,0.0881,0.1468,0.0,False,False
211,1,0.0793,0.1321,0.0,False,False
211,3,0.0885,0.1474,0.0,False,False
212,1,0.0793,0.1321,0.0,False,False
212,3,0.0879,0.1465,0.0,False,False
213,1,0.0795,0.1325,0.0,False,False
213,3,0.0888,0.148,0.0,False,False
214,1,0.082,0.1322,0.0067,False,False
214,3,0.0901,0.1502,0.0,False,False
215,1,0.0787,0.1311,0.0,False,False
215,3,0.0938,0.1563,0.0,False,False
216,1,0.0801,0.129,0.0067,False,False
216,3,0.0984,0.164,0.0,False,False
217,1,0.0766,0.1277,0.0,False,False
217,3,0.1031,0.1718,0.0,False,False
218,1,0.0907,0.1273,0.0359,False,False
218,3,0.1047,0.1745,0.0,False,False
219,1,0.0845,0.1169,0.0359,False,False
219,3,0.1024,0.1707,0.0,False,False
220,1,0.0847,0.1172,0.0359,False,False
220,3,0.0943,0.1572,0.0,False,False
221,1,0.0813,0.1156,0.0298,False,False
221,3,0.0899,0.1498,0.0,False,False
222,1,0.0706,0.1177,0.0,False,False
222,3,0.0865,0.1442,0.0,False,False
223,1,0.0713,0.1188,0.0,False,False
223,3,0.0849,0.1414,0.0,False,False
224,1,0.0746,0.1199,0.0067,False,False
224,3,0.0823,0.1371,0.0,False,False
225,1,0.0754,0.1213,0.0067,False,False
225,3,0.0773,0.1289,0.0,False,False
226,1,0.086,0.1235,0.0298,False,False
226,3,0.0753,0.1255,0.0,False,False
227,1,0.0844,0.1209,0.0298,False,False
227,3,0.0703,0.1172,0.0,False,False
228,1,0.085,0.1218,0.0298,False,False
228,3,0.0678,0.113,0.0,False,False
229,1,0.0733,0.1221,0.0,False,False
229,3,0.066,0.11,0.0,False,False
230,1,0.0856,0.1167,0.0389,False,False
230,3,0.0622,0.1037,0.0,False,False
231,1,0.0782,0.1241,0.0094,False,False
231,3,0.0726,0.121,0.0,False,False
232,1,0.0984,0.14,0.0359,False,False
232,3,0.0748,0.1246,0.0,False,False
233,1,0.1127,0.1539,0.0508,False,False
233,3,0.0821,0.1369,0.0,False,False
234,1,0.0978,0.1585,0.0067,False,False
234,3,0.089,0.1483,0.0,False,False
235,1,0.0999,0.1602,0.0094,False,False
235,3,0.0944,0.1573,0.0,False,False
236,1,0.0987,0.1583,0.0094,False,False
